IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
000446-01012019,01-Jan-19,2019,13:24:51,13,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE13,0,22000637,E09000023,LEWISHAM,Lewisham,E05000448,LEWISHAM CENTRAL,LEWISHAM CENTRAL,,,537850,175850,,,London,Lewisham,229,Greenwich,324,Deptford,3,3,3,1,333,1,01-01-2019 13:24
000466-01012019,01-Jan-19,2019,14:17:38,14,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N4,0,21603379,E09000019,ISLINGTON,Islington,E05000381,TOLLINGTON,TOLLINGTON,,,530550,187650,,,London,Holloway,203,Holloway,254,Hornsey,2,2,2,1,333,1,01-01-2019 14:17
000469-01012019,01-Jan-19,2019,14:25:54,14,Fire,Primary Fire,,Non Residential,Private Summer house ,Correct incident location,,IG1,0,22302949,E09000026,REDBRIDGE,Redbridge,E05011241,CRANBROOK,CRANBROOK,,,543350,187650,,,London,Ilford,386,Ilford,,,1,1,1,2,666,1,01-01-2019 14:25
000472-01012019,01-Jan-19,2019,14:53:56,14,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SW17,0,22905773,E09000032,WANDSWORTH,Wandsworth,E05000616,GRAVENEY,GRAVENEY,,,527750,171350,,,London,Tooting,295,Wimbledon,364,Mitcham,2,2,2,1,333,1,01-01-2019 14:53
000487-01012019,01-Jan-19,2019,15:24:32,15,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,SE1 1LB,SE1,10000818850,22500284,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,532515,179942,532550,179950,51.50289533,-0.092123915,London,Dowgate,219,Dowgate,,,1,1,1,1,333,2,01-01-2019 15:24
000496-01012019,01-Jan-19,2019,15:50:35,15,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,UB3,0,21402139,E09000017,HILLINGDON,Hillingdon,E05000339,TOWNFIELD,TOWNFIELD,,,510050,180950,,,London,Hayes,364,Hillingdon,370,Hillingdon,1,2,2,1,333,2,01-01-2019 15:50
000497-01012019,01-Jan-19,2019,15:51:34,15,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,BR1 2WZ,BR1,1.0002E+11,20300527,E09000006,BROMLEY,Bromley,E05000106,BICKLEY,BICKLEY,542292,169691,542250,169650,51.40840603,0.044515542,London,Bromley,399,Sidcup,,,1,1,1,1,333,1,01-01-2019 15:51
000501-01012019,01-Jan-19,2019,16:02:02,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W10,0,8400416,E09000033,WESTMINSTER,Westminster,E05000642,QUEEN'S PARK,QUEEN'S PARK,,,524450,182950,,,London,North Kensington,181,North Kensington,374,West Hampstead,3,4,6,19,6327,27,01-01-2019 16:02
000528-01012019,01-Jan-19,2019,16:09:15,16,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,E17 7AP,E17,10009147369,22879750,E09000031,WALTHAM FOREST,Waltham Forest,E05000599,HIGH STREET,HIGH STREET,536020,188881,536050,188850,51.58238637,-0.038210857,London,Walthamstow,307,Walthamstow,,,1,1,1,1,333,2,01-01-2019 16:09
000559-01012019,01-Jan-19,2019,17:17:22,17,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,E17 7AT,E17,1.00023E+11,22879750,E09000031,WALTHAM FOREST,Waltham Forest,E05000599,HIGH STREET,HIGH STREET,536123,188926,536150,188950,51.58276682,-0.036711346,London,Walthamstow,182,Walthamstow,,,1,1,1,1,333,1,01-01-2019 17:17
000579-01012019,01-Jan-19,2019,18:18:47,18,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,In street outside gazetteer location,E1 3LL,E1,6032365,22701160,E09000030,TOWER HAMLETS,Tower Hamlets,E05009334,STEPNEY GREEN,STEPNEY GREEN,535693,181798,535650,181750,51.51881274,-0.045652544,London,Bethnal Green,287,Bethnal Green,,,1,1,1,1,333,1,01-01-2019 18:18
000583-01012019,01-Jan-19,2019,18:41:47,18,Fire,Secondary Fire,,Outdoor Structure,Refuse/rubbish tip ,In street close to gazetteer location,NW7 1BB,NW7,200144593,20038660,E09000003,BARNET,Barnet,E05000057,MILL HILL,MILL HILL,523892,191633,523850,191650,51.60991309,-0.212177025,London,Mill Hill,427,Finchley,,,1,1,1,1,333,1,01-01-2019 18:41
000589-01012019,01-Jan-19,2019,19:00:40,19,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,BR7 6BN,BR7,10070017395,20302154,E09000006,BROMLEY,Bromley,E05000111,CHISLEHURST,CHISLEHURST,544285,171533,544250,171550,51.42445505,0.07391181,London,Sidcup,433,Eltham,,,1,1,1,1,333,1,01-01-2019 19:00
000603-01012019,01-Jan-19,2019,19:58:09,19,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,SE11 6LY,SE11,1.00022E+11,21900831,E09000022,LAMBETH,Lambeth,E05000416,BISHOP'S,BISHOP'S,531063,179068,531050,179050,51.49537272,-0.11336694,London,Lambeth,137,Lambeth,145,Lambeth,1,2,2,1,333,1,01-01-2019 19:58
000610-01012019,01-Jan-19,2019,20:29:28,20,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street close to gazetteer location,SE15 3NY,SE15,2.00004E+11,22502208,E09000028,SOUTHWARK,Southwark,E05011113,RYE LANE,RYE LANE,534492,175783,534450,175750,51.46504776,-0.065240767,London,Peckham,273,New Cross,,,1,1,1,1,333,3,01-01-2019 20:29
000611-01012019,01-Jan-19,2019,20:30:09,20,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,EN2,0,20702705,E09000010,ENFIELD,Enfield,E05000195,CHASE,CHASE,,,532550,198050,,,London,Enfield,346,Enfield,,,1,1,1,1,333,1,01-01-2019 20:30
000616-01012019,01-Jan-19,2019,20:36:56,20,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,DA17 5BX,DA17,1.00024E+11,20100344,E09000004,BEXLEY,Bexley,E05011218,BELVEDERE,BELVEDERE,549118,178861,549150,178850,51.48904341,0.146457428,London,Erith,232,Erith,,,1,1,1,1,333,1,01-01-2019 20:36
000622-01012019,01-Jan-19,2019,20:52:46,20,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,WC2A 3HP,WC2A,5064180,20401245,E09000007,CAMDEN,Camden,E05000138,HOLBORN AND COVENT GARDEN,HOLBORN AND COVENT GARDEN,530591,181487,530550,181450,51.51722083,-0.119260552,London,Soho,,,,,1,1,1,1,333,1,01-01-2019 20:52
000624-01012019,01-Jan-19,2019,21:08:28,21,Fire,Primary Fire,,Outdoor Structure,Other outdoor equipment/machinery ,Correct incident location,KT4 8PJ,KT4,5870015271,22601298,E09000029,SUTTON,Sutton,E05000572,WORCESTER PARK,WORCESTER PARK,523453,166203,523450,166250,51.3814595,-0.2274163,London,Sutton,364,Sutton,691,Surbiton,2,2,2,3,999,1,01-01-2019 21:08
000625-01012019,01-Jan-19,2019,21:11:56,21,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,NW4 2PN,NW4,10025299611,20035620,E09000003,BARNET,Barnet,E05000062,WEST HENDON,WEST HENDON,523212,188539,523250,188550,51.58225417,-0.223078713,London,Hendon,242,Hendon,,,1,1,1,1,333,1,01-01-2019 21:11
000631-01012019,01-Jan-19,2019,21:28:38,21,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,SW1V 2LZ,SW1V,10033556756,8401601,E09000033,WESTMINSTER,Westminster,E05000645,TACHBROOK,TACHBROOK,529335,178676,529350,178650,51.49224973,-0.138386217,London,Lambeth,298,Lambeth,,,1,1,1,1,333,3,01-01-2019 21:28
000639-01012019,01-Jan-19,2019,21:43:35,21,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,SE9 3AE,SE9,10010243603,20801197,E09000011,GREENWICH,Greenwich,E05000217,COLDHARBOUR AND NEW ELTHAM,COLDHARBOUR AND NEW ELTHAM,542309,172794,542350,172750,51.43628586,0.046006678,London,Eltham,318,Lee Green,509,Bromley,2,2,2,1,333,3,01-01-2019 21:43
000653-01012019,01-Jan-19,2019,22:49:06,22,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,RM13 7TH,RM13,10070704316,21302070,E09000016,HAVERING,Havering,E05000321,SOUTH HORNCHURCH,SOUTH HORNCHURCH,551195,184162,551150,184150,51.53612592,0.178617832,London,Dagenham,481,Dagenham,,,1,1,1,1,333,1,01-01-2019 22:49
000663-01012019,01-Jan-19,2019,23:22:20,23,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,RM3,0,21300988,E09000016,HAVERING,Havering,E05000314,HEATON,HEATON,,,553450,191450,,,London,Harold Hill,256,Harold Hill,354,Romford,2,2,2,1,333,1,01-01-2019 23:22
000665-01012019,01-Jan-19,2019,23:29:17,23,Fire,Primary Fire,,Non Residential,Private garage ,On land associated with building,,IG11,0,19900721,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000032,GASCOIGNE,GASCOIGNE,,,544450,183750,,,London,Barking,340,Barking,,,1,1,1,1,333,1,01-01-2019 23:29
000672-01012019,01-Jan-19,2019,23:41:59,23,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,Correct incident location,SE1 0DQ,SE1,10013527116,22502285,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,532004,179632,532050,179650,51.500221,-0.0996093,London,Dowgate,224,Dowgate,,,1,1,1,1,333,2,01-01-2019 23:41
000674-01012019,01-Jan-19,2019,23:49:26,23,Fire,Primary Fire,,Non Residential,Single shop ,Correct incident location,NW10 8SE,NW10,202110871,20200219,E09000005,BRENT,Brent,E05000091,HARLESDEN,HARLESDEN,521477,183575,521450,183550,51.5380165,-0.2498343,London,Park Royal,312,Park Royal,316,Willesden,2,2,8,23,7659,4,01-01-2019 23:49
000691-02012019,02-Jan-19,2019,00:46:37,0,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,SE27 0PH,SE27,1.00022E+11,21900654,E09000022,LAMBETH,Lambeth,E05000424,KNIGHT'S HILL,KNIGHT'S HILL,531617,171991,531650,171950,51.43165126,-0.108009229,London,West Norwood,268,West Norwood,,,1,1,1,1,333,4,02-01-2019 00:46
000698-02012019,02-Jan-19,2019,01:39:53,1,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),On land associated with building,SE5 0RS,SE5,1.00022E+11,21900274,E09000022,LAMBETH,Lambeth,E05000436,VASSALL,VASSALL,531501,177359,531550,177350,51.47991824,-0.107694622,London,Lambeth,260,Peckham,,,1,1,1,1,333,2,02-01-2019 01:39
000705-02012019,02-Jan-19,2019,02:08:32,2,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,EC4A 2BP,EC4A,95503607,8100212,E09000001,CITY OF LONDON,City Of london,E05009297,CASTLE BAYNARD,CASTLE BAYNARD,531442,181200,531450,181250,51.51444584,-0.107115651,London,Dowgate,279,Dowgate,,,1,1,1,1,333,1,02-01-2019 02:08
000708-02012019,02-Jan-19,2019,02:51:41,2,Fire,Primary Fire,,Road Vehicle,Other road vehicle,On land associated with building,E14 5GA,E14,6648509,22702214,E09000030,TOWER HAMLETS,Tower Hamlets,E05009318,BLACKWALL & CUBITT TOWN,BLACKWALL & CUBITT TOWN,538200,180503,538250,180550,51.50657419,-0.010046214,London,Poplar,237,Millwall,274,Poplar,2,2,2,2,666,4,02-01-2019 02:51
000710-02012019,02-Jan-19,2019,02:54:26,2,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,SW16 6DA,SW16,121025903,22901341,E09000032,WANDSWORTH,Wandsworth,E05000615,FURZEDOWN,FURZEDOWN,529438,171226,529450,171250,51.42527319,-0.139621668,London,Tooting,294,Tooting,296,Tooting,1,2,2,1,333,1,02-01-2019 02:54
000719-02012019,02-Jan-19,2019,04:00:41,4,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,RM7 0ES,RM7,1.00021E+11,21301120,E09000016,HAVERING,Havering,E05000306,BROOKLANDS,BROOKLANDS,549455,187725,549450,187750,51.56860471,0.155062378,London,Dagenham,396,Dagenham,,,1,1,1,1,333,1,02-01-2019 04:00
000720-02012019,02-Jan-19,2019,04:12:38,4,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street close to gazetteer location,W6 0HT,W6,34005043,21001164,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000261,RAVENSCOURT PARK,RAVENSCOURT PARK,522565,178928,522550,178950,51.49601911,-0.235761524,London,Hammersmith,316,Hammersmith,,,1,1,1,1,333,2,02-01-2019 04:12
000725-02012019,02-Jan-19,2019,04:50:27,4,Fire,Primary Fire,,Road Vehicle,Car ,In street close to gazetteer location,SE18 2HR,SE18,1.00021E+11,20801492,E09000011,GREENWICH,Greenwich,E05000227,SHOOTERS HILL,SHOOTERS HILL,545449,177334,545450,177350,51.47627662,0.093018133,London,Plumstead,328,Plumstead,,,1,1,1,1,333,1,02-01-2019 04:50
000754-02012019,02-Jan-19,2019,08:48:35,8,Fire,Secondary Fire,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,W5 3JG,W5,10025298726,20601838,E09000009,EALING,Ealing,E05000174,EALING COMMON,EALING COMMON,518529,180229,518550,180250,51.50857607,-0.29344291,London,Ealing,240,Ealing,,,1,1,1,1,333,1,02-01-2019 08:48
000779-02012019,02-Jan-19,2019,10:22:46,10,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Within same building,,NW3,0,20400580,E09000007,CAMDEN,Camden,E05000144,SWISS COTTAGE,SWISS COTTAGE,,,526750,184350,,,London,West Hampstead,228,West Hampstead,244,West Hampstead,2,3,3,2,666,1,02-01-2019 10:22
000780-02012019,02-Jan-19,2019,10:26:35,10,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,IG11,0,19900725,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000032,GASCOIGNE,GASCOIGNE,,,544550,183850,,,London,Barking,384,East Ham,591,Ilford,2,2,2,1,333,1,02-01-2019 10:26
000784-02012019,02-Jan-19,2019,10:41:59,10,Fire,Primary Fire,,Non Residential,Train station - platform (below ground) ,Correct incident location,SW5 9QA,SW5,217026175,21700166,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009395,EARL'S COURT,EARL'S COURT,525435,178466,525450,178450,51.491242,-0.194603986,London,Kensington,316,Hammersmith,371,Chelsea,3,3,3,4,1332,2,02-01-2019 10:41
000814-02012019,02-Jan-19,2019,12:05:41,12,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,W2 1RH,W2,1.00023E+11,8400572,E09000033,WESTMINSTER,Westminster,E05000636,HYDE PARK,HYDE PARK,526722,181237,526750,181250,51.51585843,-0.175084126,London,Paddington,258,Paddington,,,1,1,1,1,333,4,02-01-2019 12:05
000823-02012019,02-Jan-19,2019,12:34:10,12,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,UB6 9PR,UB6,12052301,20602432,E09000009,EALING,Ealing,E05000177,GREENFORD BROADWAY,GREENFORD BROADWAY,514335,182272,514350,182250,51.52779584,-0.353184554,London,Southall,301,Southall,,,1,1,1,1,333,1,02-01-2019 12:34
000840-02012019,02-Jan-19,2019,13:29:07,13,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,CR4,0,22100495,E09000024,MERTON,Merton,E05000467,POLLARDS HILL,POLLARDS HILL,,,529850,168150,,,London,Norbury,281,Norbury,386,Mitcham,2,2,2,3,999,2,02-01-2019 13:29
000858-02012019,02-Jan-19,2019,14:17:05,14,Fire,Secondary Fire,,Outdoor,Roadside vegetation ,Open land/water - nearest gazetteer location,HA9 8DF,HA9,202107485,20200339,E09000005,BRENT,Brent,E05000102,TOKYNGTON,TOKYNGTON,518697,185656,518650,185650,51.55731644,-0.289191688,London,Wembley,384,Wembley,,,1,1,1,1,333,1,02-01-2019 14:17
000860-02012019,02-Jan-19,2019,14:22:12,14,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,N15 4DQ,N15,10003980189,21106680,E09000014,HARINGEY,Haringey,E05000280,TOTTENHAM GREEN,TOTTENHAM GREEN,533716,189346,533750,189350,51.58711535,-0.071269497,London,Tottenham,198,Tottenham,,,1,1,1,1,333,1,02-01-2019 14:22
000875-02012019,02-Jan-19,2019,15:19:04,15,Fire,Secondary Fire,,Outdoor,Hedge,Open land/water - nearest gazetteer location,CR0 4NG,CR0,2.00001E+11,20502345,E09000008,CROYDON,Croydon,E05011487,WADDON,WADDON,531308,164774,531350,164750,51.36686079,-0.115134058,London,Croydon,367,Croydon,,,1,1,1,1,333,1,02-01-2019 15:19
000881-02012019,02-Jan-19,2019,15:38:07,15,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21501522,E09000018,HOUNSLOW,Hounslow,E05000363,OSTERLEY AND SPRING GROVE,OSTERLEY AND SPRING GROVE,,,515650,177550,,,London,Heston,305,Heston,,,1,1,1,1,333,1,02-01-2019 15:38
000885-02012019,02-Jan-19,2019,15:49:28,15,Fire,Primary Fire,,Road Vehicle,Motorcycle ,In street close to gazetteer location,DA14 5BN,DA14,10013149000,20100485,E09000006,BROMLEY,Bromley,E05000115,CRAY VALLEY WEST,CRAY VALLEY WEST,547218,170343,547250,170350,51.41299984,0.115567882,London,Sidcup,311,Sidcup,,,1,1,1,1,333,1,02-01-2019 15:49
000909-02012019,02-Jan-19,2019,16:52:25,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N7,0,21607056,E09000019,ISLINGTON,Islington,E05000375,HOLLOWAY,HOLLOWAY,,,530650,184850,,,London,Holloway,382,Kentish Town,401,Islington,4,5,5,3,999,3,02-01-2019 16:52
000920-02012019,02-Jan-19,2019,17:16:25,17,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,In street close to gazetteer location,NW1 0BP,NW1,5105086,20400737,E09000007,CAMDEN,Camden,E05000143,ST. PANCRAS AND SOMERS TOWN,ST. PANCRAS AND SOMERS TOWN,529172,183652,529150,183650,51.53700643,-0.138902594,London,Euston,567,Islington,,,1,1,1,1,333,3,02-01-2019 17:16
000934-02012019,02-Jan-19,2019,17:38:05,17,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21510540,E09000018,HOUNSLOW,Hounslow,E05000361,HOUNSLOW WEST,HOUNSLOW WEST,,,513150,175450,,,London,Heston,316,Heston,320,Heston,4,5,5,19,6327,1,02-01-2019 17:38
000941-02012019,02-Jan-19,2019,18:00:15,18,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW4,0,21900593,E09000022,LAMBETH,Lambeth,E05000425,LARKHALL,LARKHALL,,,529950,175750,,,London,Clapham,217,Clapham,304,Brixton,2,2,2,1,333,1,02-01-2019 18:00
000943-02012019,02-Jan-19,2019,18:12:24,18,Fire,Secondary Fire,,Outdoor,Wasteland ,Open land/water - nearest gazetteer location,E6 2ET,E6,46009191,22200424,E09000025,NEWHAM,Newham,E05000493,WALL END,WALL END,543415,183989,543450,183950,51.53659808,0.066455857,London,East Ham,329,East Ham,,,1,1,1,1,333,1,02-01-2019 18:12
000950-02012019,02-Jan-19,2019,18:24:05,18,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,HA2,0,21201971,E09000015,HARROW,Harrow,E05000301,ROXBOURNE,ROXBOURNE,,,513350,187150,,,London,Northolt,355,Northolt,,,1,2,2,2,666,1,02-01-2019 18:24
000955-02012019,02-Jan-19,2019,18:33:59,18,Fire,Primary Fire,,Non Residential,Purpose built office ,Correct incident location,SE1 1XF,SE1,10091953596,22500284,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,532576,180090,532550,180050,51.5042032,-0.0912013,London,Dowgate,249,Dowgate,650,Whitechapel,2,2,2,1,333,1,02-01-2019 18:33
000959-02012019,02-Jan-19,2019,18:45:43,18,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,UB7 7DL,UB7,1.00024E+11,21401988,E09000017,HILLINGDON,Hillingdon,E05000342,WEST DRAYTON,WEST DRAYTON,505375,179137,505350,179150,51.50136606,-0.483225921,London,Hayes,402,Hayes,,,1,1,2,3,999,2,02-01-2019 18:45
000964-02012019,02-Jan-19,2019,18:58:01,18,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,EN3,0,20702861,E09000010,ENFIELD,Enfield,E05000206,PONDERS END,PONDERS END,,,535050,195450,,,London,Edmonton,288,Enfield,301,Enfield,1,2,2,1,333,1,02-01-2019 18:58
000978-02012019,02-Jan-19,2019,19:32:06,19,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,EC1Y 8NH,EC1Y,5300028765,21604739,E09000019,ISLINGTON,Islington,E05000367,BUNHILL,BUNHILL,532557,182192,532550,182150,51.52310325,-0.090681526,London,Shoreditch,292,Shoreditch,,,1,1,1,1,333,1,02-01-2019 19:32
000982-02012019,02-Jan-19,2019,19:55:34,19,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,W1D 1AS,W1D,10033622014,8400159,E09000033,WESTMINSTER,Westminster,E05000649,WEST END,WEST END,529757,181386,529750,181350,51.51650525,-0.131312221,London,Soho,147,Soho,,,1,1,1,1,333,2,02-01-2019 19:55
000989-02012019,02-Jan-19,2019,20:21:58,20,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E1,0,22700475,E09000030,TOWER HAMLETS,Tower Hamlets,E05009329,ST. DUNSTAN'S,ST. DUNSTAN'S,,,535850,182150,,,London,Bethnal Green,220,Bethnal Green,349,Poplar,5,5,8,8,2664,5,02-01-2019 20:21
001002-02012019,02-Jan-19,2019,21:03:46,21,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N8,0,21102985,E09000014,HARINGEY,Haringey,E05000273,HORNSEY,HORNSEY,,,530250,189150,,,London,Hornsey,142,Hornsey,307,Holloway,2,2,10,25,8325,22,02-01-2019 21:03
001042-02012019,02-Jan-19,2019,22:05:11,22,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,RM6,0,22306457,E09000026,REDBRIDGE,Redbridge,E05011237,CHADWELL,CHADWELL,,,547150,187750,,,London,Ilford,220,Ilford,234,Ilford,1,2,2,1,333,1,02-01-2019 22:05
001045-02012019,02-Jan-19,2019,22:28:46,22,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,SE16 3QH,SE16,2.00004E+11,22501765,E09000028,SOUTHWARK,Southwark,E05011116,SOUTH BERMONDSEY,SOUTH BERMONDSEY,533887,179384,533850,179350,51.49755756,-0.072588401,London,Dockhead,160,Dockhead,,,1,1,1,1,333,1,02-01-2019 22:28
001059-03012019,03-Jan-19,2019,00:21:03,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,W1J 7NB,W1J,1.00023E+11,8400515,E09000033,WESTMINSTER,Westminster,E05000649,WEST END,WEST END,528874,180203,528850,180250,51.50607772,-0.144461379,London,Soho,238,Soho,,,1,1,1,1,333,1,03-01-2019 00:21
001066-03012019,03-Jan-19,2019,00:49:43,0,Fire,Primary Fire,,Road Vehicle,Car ,Open land/water - nearest gazetteer location,IG2 7TF,IG2,10023188781,22304607,E09000026,REDBRIDGE,Redbridge,E05011234,ALDBOROUGH,ALDBOROUGH,546551,191394,546550,191350,51.60232557,0.114720944,London,Hainault,235,Hainault,,,1,1,1,1,333,5,03-01-2019 00:49
001074-03012019,03-Jan-19,2019,01:08:38,1,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW3,0,21590245,E09000018,HOUNSLOW,Hounslow,E05000359,HOUNSLOW HEATH,HOUNSLOW HEATH,,,513450,175250,,,London,Heston,296,Heston,321,Heston,1,2,2,6,1998,3,03-01-2019 01:08
001080-03012019,03-Jan-19,2019,02:01:03,2,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,E1 2LP,E1,6136935,22700636,E09000030,TOWER HAMLETS,Tower Hamlets,E05009336,WHITECHAPEL,WHITECHAPEL,534546,181301,534550,181350,51.51462875,-0.062358217,London,Whitechapel,394,Whitechapel,,,1,1,1,1,333,1,03-01-2019 02:01
001081-03012019,03-Jan-19,2019,02:21:30,2,Fire,Primary Fire,,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,E14 7RL,E14,6044265,22700168,E09000030,TOWER HAMLETS,Tower Hamlets,E05009329,ST. DUNSTAN'S,ST. DUNSTAN'S,536364,181374,536350,181350,51.51484196,-0.036149216,London,Poplar,608,Poplar,,,1,1,1,2,666,19,03-01-2019 02:21
001106-03012019,03-Jan-19,2019,03:44:50,3,Fire,Primary Fire,,Outdoor Structure,Other outdoor structures ,In street close to gazetteer location,NW2 1LZ,NW2,200142477,20004503,E09000003,BARNET,Barnet,E05000053,GOLDERS GREEN,GOLDERS GREEN,523568,187903,523550,187950,51.57646444,-0.218170321,London,Hendon,441,Hendon,,,1,1,1,1,333,10,03-01-2019 03:44
001120-03012019,03-Jan-19,2019,05:01:59,5,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,N17,0,21104194,E09000014,HARINGEY,Haringey,E05000276,NORTHUMBERLAND PARK,NORTHUMBERLAND PARK,,,534750,190850,,,London,Tottenham,277,Tottenham,285,Tottenham,1,2,2,2,666,1,03-01-2019 05:01
001123-03012019,03-Jan-19,2019,05:12:51,5,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street outside gazetteer location,N1 3PP,N1,5300031605,21604817,E09000019,ISLINGTON,Islington,E05000369,CANONBURY,CANONBURY,532289,184322,532250,184350,51.54230286,-0.093731919,London,Islington,231,Islington,,,1,1,1,1,333,3,03-01-2019 05:12
