IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
002395-06012019,06-Jan-19,2019,10:32:01,10,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E11,0,22303251,E09000026,REDBRIDGE,Redbridge,E05011255,WANSTEAD VILLAGE,WANSTEAD VILLAGE,,,540150,188450,,,London,Leytonstone,355,Leytonstone,,,1,1,1,1,333,1,06-01-2019 10:32
002410-06012019,06-Jan-19,2019,11:29:24,11,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,RM1 1RB,RM1,1.00023E+11,21301604,E09000016,HAVERING,Havering,E05000319,ROMFORD TOWN,ROMFORD TOWN,551287,188656,551250,188650,51.57647912,0.181876598,London,Romford,330,Romford,,,1,1,1,1,333,1,06-01-2019 11:29
002427-06012019,06-Jan-19,2019,12:13:15,12,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,SW16 6JT,SW16,1.00022E+11,21900869,E09000022,LAMBETH,Lambeth,E05000428,ST. LEONARD'S,ST. LEONARD'S,529761,170873,529750,170850,51.42202625,-0.135105626,London,Norbury,345,Tooting,,,1,1,1,1,333,1,06-01-2019 12:13
002433-06012019,06-Jan-19,2019,12:43:05,12,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,IG8,0,22304845,E09000026,REDBRIDGE,Redbridge,E05011238,CHURCHFIELDS,CHURCHFIELDS,,,540250,191750,,,London,Woodford,291,Walthamstow,,,2,2,2,1,333,2,06-01-2019 12:43
002440-06012019,06-Jan-19,2019,12:53:35,12,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),Correct incident location,SW12 9AN,SW12,1.00023E+11,22900217,E09000032,WANDSWORTH,Wandsworth,E05000610,BALHAM,BALHAM,528730,173598,528750,173550,51.446748,-0.148947,London,Tooting,389,Norbury,,,1,1,1,1,333,1,06-01-2019 12:53
002445-06012019,06-Jan-19,2019,13:16:01,13,Fire,Primary Fire,,Dwelling,Bungalow - single occupancy ,Correct incident location,,CR8,0,20502547,E09000008,CROYDON,Croydon,E05011476,PURLEY & WOODCOTE,PURLEY & WOODCOTE,,,530150,160850,,,London,Purley,227,Purley,445,Wallington,2,2,2,3,999,1,06-01-2019 13:16
002453-06012019,06-Jan-19,2019,13:28:32,13,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,SE5 0RP,SE5,10025291060,22500408,E09000028,SOUTHWARK,Southwark,E05011096,CAMBERWELL GREEN,CAMBERWELL GREEN,532268,176885,532250,176850,51.4754813,-0.096830732,London,Peckham,218,Peckham,,,1,1,1,1,333,1,06-01-2019 13:28
002456-06012019,06-Jan-19,2019,13:35:49,13,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,RM1,0,21301604,E09000016,HAVERING,Havering,E05000306,BROOKLANDS,BROOKLANDS,,,551650,187550,,,London,Hornchurch,307,Hornchurch,557,Harold Hill,4,4,6,5,1665,1,06-01-2019 13:35
002460-06012019,06-Jan-19,2019,13:46:22,13,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E3 4HD,E3,6362266,22701042,E09000030,TOWER HAMLETS,Tower Hamlets,E05009321,BROMLEY NORTH,BROMLEY NORTH,537417,182531,537450,182550,51.52498619,-0.020542493,London,Poplar,287,Poplar,,,1,1,1,1,333,1,06-01-2019 13:46
002461-06012019,06-Jan-19,2019,13:47:27,13,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,E12 6SA,E12,10009005468,22208087,E09000025,NEWHAM,Newham,E05000481,EAST HAM NORTH,EAST HAM NORTH,542257,184684,542250,184650,51.54313562,0.050053516,London,East Ham,346,East Ham,,,1,1,1,1,333,1,06-01-2019 13:47
